,id,author,abstract,booktitle,title,year,volume,number,pages,keywords,doi,ISSN,months,isbn,publisher,address,url,numpages,location,series
10,10.1145/1140124.1140177,Atanas Radenski,"The emphasis on Java and other commercial languages in CS1 has established the perception of computer science as a dry and technically difficult discipline among undecided students who are still seeking careers. This may not be a big problem during an enrolment boom, but in times of decreased enrolment such negative perception may have a devastating effect on computer science programs and therefore should not be ignored. We have made our CS1 course offerings more attractive to students (1) by introducing an easy to learn yet effective scripting language - Python, (2) by making all course resources available in a comprehensive online study pack, and (3) by offering an extensive set of detailed and easy to follow self-guided labs. Our custom-designed online study pack comprises a wealth of new, original learning modules: extensive e-texts, detailed self-guided labs, numerous sample programs, quizzes, and slides. Our recent student survey demonstrates that students like and prefer Python as a first language and that they also percept the online study pack as very beneficial. Our ""Python First"" course, originally required for computer science majors, has been so well received that it has been recently approved as a general education science elective, thus opening new recruitment opportunities for the computer science major. Our ""Python First"" digital pack is published online at http://studypack.com.",Proceedings of the 11th Annual SIGCSE Conference on Innovation and Technology in Computer Science Education,"""Python First"": A Lab-Based Digital Introduction to Computer Science",2006,,,197–201,"CS2, Python, self-guided lab, online study pack, Java, CS1, OOP",10.1145/1140124.1140177,,,1595930558,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/1140124.1140177,5,"Bologna, Italy",ITICSE '06
11,10.1145/1140123.1140177,Atanas Radenski,"The emphasis on Java and other commercial languages in CS1 has established the perception of computer science as a dry and technically difficult discipline among undecided students who are still seeking careers. This may not be a big problem during an enrolment boom, but in times of decreased enrolment such negative perception may have a devastating effect on computer science programs and therefore should not be ignored. We have made our CS1 course offerings more attractive to students (1) by introducing an easy to learn yet effective scripting language - Python, (2) by making all course resources available in a comprehensive online study pack, and (3) by offering an extensive set of detailed and easy to follow self-guided labs. Our custom-designed online study pack comprises a wealth of new, original learning modules: extensive e-texts, detailed self-guided labs, numerous sample programs, quizzes, and slides. Our recent student survey demonstrates that students like and prefer Python as a first language and that they also percept the online study pack as very beneficial. Our ""Python First"" course, originally required for computer science majors, has been so well received that it has been recently approved as a general education science elective, thus opening new recruitment opportunities for the computer science major. Our ""Python First"" digital pack is published online at http://studypack.com.",,"""Python First"": A Lab-Based Digital Introduction to Computer Science",2006,38,3,197–201,"CS1, CS2, Java, OOP, Python, online study pack, self-guided lab",10.1145/1140123.1140177,0097-8418,June,,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/1140123.1140177,5,,
12,10.5555/3019083.3019089,Ross Smith,"Python is an interpreted language that has become more commonly used within HPC applications. Python benefits from the ability to write extension modules in C, which can further use optimized libraries that have been written in other compiled languages. For HPC users, two of the most common extensions are NumPy and mpi4py. It is possible to write a full computational kernel in a compiled language and then build that kernel into an extension module. However, this process requires not only the kernel be written in the compiled language, but also the interface between the kernel and Python be implemented. If possible, it would be preferable to achieve similar performance by writing the code directly in Python using readily available performant modules. In this work the performance differences between compiled codes and codes written using Python3 and commonly available modules, most notably NumPy and mpi4py, are investigated. Additionally, the performance of an open source Python stack is compared to the recently announced Intel Python3 distribution.",Proceedings of the 6th Workshop on Python for High-Performance and Scientific Computing,Performance of MPI Codes Written in Python with NumPy and Mpi4py,2016,,,45–51,"MPI, HPC, mpi4py, Python, Intel Python",,,,9781509052202,IEEE Press,,,7,"Salt Lake City, Utah",PyHPC '16
13,10.1145/3149869.3149877,"S Sehrish, J Kowalkowski, M Paterno, C Green","High level abstractions in Python that can utilize computing hardware well seem to be an attractive option for writing data reduction and analysis tasks. In this paper, we explore the features available in Python which are useful and efficient for end user analysis in High Energy Physics (HEP). A typical vertical slice of an HEP data analysis is somewhat fragmented: the state of the reduction/analysis process must be saved at certain stages to allow for selective reprocessing of only parts of a generally time-consuming workflow. Also, algorithms tend to to be modular because of the heterogeneous nature of most detectors and the need to analyze different parts of the detector separately before combining the information. This fragmentation causes difficulties for interactive data analysis, and as data sets increase in size and complexity (O10 TiB for a ""small"" neutrino experiment to the O10 PiB currently held by the CMS experiment at the LHC), data analysis methods traditional to the field must evolve to make optimum use of emerging HPC technologies and platforms. Mainstream big data tools, while suggesting a direction in terms of what can be done if an entire data set can be available across a system and analysed with high-level programming abstractions, are not designed with either scientific computing generally, or modern HPC platform features in particular, such as data caching levels, in mind.Our example HPC use case is a search for a new elementary particle which might explain the phenomenon known as ""Dark Matter"". Using data from the CMS detector, we will use HDF5 as our input data format, and MPI with Python to implement our use case.",Proceedings of the 7th Workshop on Python for High-Performance and Scientific Computing,Python and HPC for High Energy Physics Data Analyses,2017,,,,"pandas, HEP analysis, Python, numpy, HDF5, MPI, HPC, mpi4py",10.1145/3149869.3149877,,,9781450351249,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3149869.3149877,8,"Denver, CO, USA",PyHPC'17
14,10.1145/2445196.2445368,Philip Guo,"This paper presents Online Python Tutor, a web-based program visualization tool for Python, which is becoming a popular language for teaching introductory CS courses. Using this tool, teachers and students can write Python programs directly in the web browser (without installing any plugins), step forwards and backwards through execution to view the run-time state of data structures, and share their program visualizations on the web. In the past three years, over 200,000 people have used Online Python Tutor to visualize their programs. In addition, instructors in a dozen universities such as UC Berkeley, MIT, the University of Washington, and the University of Waterloo have used it in their CS1 courses. Finally, Online Python Tutor visualizations have been embedded within three web-based digital Python textbook projects, which collectively attract around 16,000 viewers per month and are being used in at least 25 universities. Online Python Tutor is free and open source software, available at pythontutor.com.",Proceeding of the 44th ACM Technical Symposium on Computer Science Education,Online Python Tutor: Embeddable Web-Based Program Visualization for Cs Education,2013,,,579–584,"CS1, python, program visualization",10.1145/2445196.2445368,,,9781450318686,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/2445196.2445368,6,"Denver, Colorado, USA",SIGCSE '13
15,10.1145/2950290.2950357,"Zhaogui Xu, Peng Liu, Xiangyu Zhang, Baowen Xu","Python is a popular dynamic language that allows quick software development. However, Python program analysis engines are largely lacking. In this paper, we present a Python predictive analysis. It first collects the trace of an execution, and then encodes the trace and unexecuted branches to symbolic constraints. Symbolic variables are introduced to denote input values, their dynamic types, and attribute sets, to reason about their variations. Solving the constraints identifies bugs and their triggering inputs. Our evaluation shows that the technique is highly effective in analyzing real-world complex programs with a lot of dynamic features and external library calls, due to its sophisticated encoding design based on traces. It identifies 46 bugs from 11 real-world projects, with 16 new bugs. All reported bugs are true positives.",Proceedings of the 2016 24th ACM SIGSOFT International Symposium on Foundations of Software Engineering,Python Predictive Analysis for Bug Detection,2016,,,121–132,"Debugging, Python, Predictive Analysis, Dynamic Language",10.1145/2950290.2950357,,,9781450342186,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/2950290.2950357,12,"Seattle, WA, USA",FSE 2016
16,10.1109/MSR.2019.00027,"Hongyu Zhai, Casey Casalnuovo, Prem Devanbu","We study code coverage in several popular Python projects: flask, matplotlib, pandas, scikit-learn, and scrapy. Coverage data on these projects is gathered and hosted on the Codecov website, from where this data can be mined. Using this data, and a syntactic parse of the code, we examine the effect of control flow structure, statement type (e.g., if, for) and code age on test coverage. We find that coverage depends on control flow structure, with more deeply nested statements being significantly less likely to be covered. This is a clear effect, which holds up in every project, even when controlling for the age of the line (as determined by git blame). We find that the age of a line per se has a small (but statistically significant) positive effect on coverage. Finally, we find that the kind of statement (try, if, except, raise, etc) has varying effects on coverage, with exception-handling statements being covered much less often. These results suggest that developers in Python projects have difficulty writing test sets that cover deeply-nested and error-handling statements, and might need assistance covering such code.",Proceedings of the 16th International Conference on Mining Software Repositories,Test Coverage in Python Programs,2019,,,116–120,"python, code age, mining, test coverage",10.1109/MSR.2019.00027,,,,IEEE Press,,https://doi.org/10.1109/MSR.2019.00027,5,"Montreal, Quebec, Canada",MSR '19
17,10.1145/1873951.1874253,"Bertrand Nouvel, ShinIchi Satoh","PyCVF is an open source framework for computer vision and video-mining. It allows rapid development of applications and it provides standardized tools for common operations such as : browsing datasets, applying transformations to one dataset on-the-fly, computing features, indexing multimedia datasets, querying for nearest-neighbors, training a statistical model, or browsing the result in a 3d-space. PyCVF has a Python API, it also provides command line programs, QT Gui, and a web front-end. It can interacts nicely with other leading frameworks such as Weka, Orange, OpenCV, Django...",Proceedings of the 18th ACM International Conference on Multimedia,The Python Computer Vision Framework,2010,,,1481–1484,"indexing, videomining, classification, software framework, python",10.1145/1873951.1874253,,,9781605589336,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/1873951.1874253,4,"Firenze, Italy",MM '10
18,10.1145/1409908.1409911,Robin Snyder,"Many security concepts become more clear to students when operationalized in the context of a programming language. Unfortunately, many programming systems and development environments are complex and not easily learned or used. Python is a simple programming language system with extensive library support for programming in general and security programming in particular. This paper describes using Portable Python to teach security concepts in the context of man-in-the-middle attacks.",Proceedings of the 4th Annual Conference on Information Security Curriculum Development,Security Programming Using Python: Man-in-the-Middle Attacks,2007,,,,"programming languages, Python, security, data communications",10.1145/1409908.1409911,,,9781595939098,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/1409908.1409911,6,"Kennesaw, Georgia",InfoSecCD '07
19,10.1145/1268784.1268937,"Michael Goldwasser, David Letscher","Python's use in education has grown rapidly, due to its elegantly simple syntax. Though often viewed as a ""scripting language,"" Python is a fully object-oriented language with an extremely consistent object model and a rich set of built-in classes.In this tutorial, we share our experiences using Python in the context of an object-oriented CS1 course. We will begin with an overview of the language, with particular emphasis on the object-orientation. We then present several coherent teaching strategies and a variety of graphical and non-graphical projects. Both new and experienced Python users are welcome.",Proceedings of the 12th Annual SIGCSE Conference on Innovation and Technology in Computer Science Education,Teaching Object-Oriented Programming in Python,2007,,,365–366,"object-orientation, CS1, python",10.1145/1268784.1268937,,,9781595936103,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/1268784.1268937,2,"Dundee, Scotland",ITiCSE '07
20,10.1145/1269900.1268937,"Michael Goldwasser, David Letscher","Python's use in education has grown rapidly, due to its elegantly simple syntax. Though often viewed as a ""scripting language,"" Python is a fully object-oriented language with an extremely consistent object model and a rich set of built-in classes.In this tutorial, we share our experiences using Python in the context of an object-oriented CS1 course. We will begin with an overview of the language, with particular emphasis on the object-orientation. We then present several coherent teaching strategies and a variety of graphical and non-graphical projects. Both new and experienced Python users are welcome.",,Teaching Object-Oriented Programming in Python,2007,39,3,365–366,"python, CS1, object-orientation",10.1145/1269900.1268937,0097-8418,June,,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/1269900.1268937,2,,
21,10.1145/3149869.3149870,"Ramon Amela, Cristian RamonCortes, Jorge Ejarque, Javier Conejero, Rosa Badia","Python has been adopted as programming language by a large number of scientific communities. Additionally to the easy programming interface, the large number of libraries and modules that have been made available by a large number of contributors, have taken this language to the top of the list of the most popular programming languages in scientific applications. However, one main drawback of Python is the lack of support for concurrency or parallelism. PyCOMPSs is a proved approach to support task-based parallelism in Python that enables applications to be executed in parallel in distributed computing platforms.This paper presents PyCOMPSs and how it has been tailored to execute tasks in heterogeneous and multi-threaded environments. We present an approach to combine the task-level parallelism provided by PyCOMPSs with the thread-level parallelism provided by MKL. Performance and behavioral results in distributed computing heterogeneous clusters show the benefits and capabilities of PyCOMPSs in both HPC and Big Data infrastructures.",Proceedings of the 7th Workshop on Python for High-Performance and Scientific Computing,Enabling Python to Execute Efficiently in Heterogeneous Distributed Infrastructures with PyCOMPSs,2017,,,,"HPC, Python, Heterogeneous infrastructures, Linear Algebra, Big Data",10.1145/3149869.3149870,,,9781450351249,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3149869.3149870,10,"Denver, CO, USA",PyHPC'17
22,10.1145/2964284.2973804,Olivier Belanger,"This paper introduces pyo, a python module dedicated to the digital processing of sound. This audio engine distinguishes itself from other alternatives by being natively integrated to a common general programming language. This integration allows incorporating audio processes quickly to other programming tasks, like mathematical computations, network communications or graphical interface programming. We will expose the main features of the library as well as the different contexts of use where pyo can be of a great benefit to composers and audio software developers.",Proceedings of the 24th ACM International Conference on Multimedia,"Pyo, the Python DSP Toolbox",2016,,,1214–1217,"music computing, python, audio programming, digital signal processing",10.1145/2964284.2973804,,,9781450336031,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/2964284.2973804,4,"Amsterdam, The Netherlands",MM '16
23,10.1109/ASE.2019.00160,Yu Li,"In recent years, the extensive application of the Python language has made its analysis work more and more valuable. Many static analysis algorithms need to rely on the construction of call graphs. In this paper, we did a comparative empirical analysis of several widely used Python static call graph tools both quantitatively and qualitatively. Experiments show that the existing Python static call graph tools have a large difference in the construction effectiveness, and there is still room for improvement.",Proceedings of the 34th IEEE/ACM International Conference on Automated Software Engineering,Empirical Study of Python Call Graph,2019,,,1274–1276,"empirical study, quantitative, qualitative, Python, call graph",10.1109/ASE.2019.00160,,,9781728125084,IEEE Press,,https://doi.org/10.1109/ASE.2019.00160,3,"San Diego, California",ASE '19
24,10.1145/1731740.1731833,"Vambola Leping, Marina Lepp, Margus Niitsoo, Eno Tonisson, Varmo Vene, Anne Villems","In this article we describe why we changed the language of our introductory programming course for first year math and computer science students from Java to Python. We explain why we chose Python over the other languages, how we built up the course and how we ran it as an experiment with a small group (about 25% of students). The experiment itself lead us to decide to use Python with all the students starting the next, 2009/2010 study year.",Proceedings of the International Conference on Computer Systems and Technologies and Workshop for PhD Students in Computing,Python Prevails,2009,,,,"Python as a first language, teaching programming to beginners",10.1145/1731740.1731833,,,9781605589862,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/1731740.1731833,5,"Ruse, Bulgaria",CompSysTech '09
25,10.1145/2597073.2597103,"Beatrice rAkerblom, Jonathan Stendahl, Mattias Tumlin, Tobias Wrigstad","Recent years have seen a number of proposals for adding (retrofitting) static typing to dynamic programming languages, a natural consequence of their growing popularity for non-toy applications across a multitude of domains. These proposals often make assumptions about how programmers write code, and in many cases restrict the way the languages can be used. In the context of Python, this paper describes early results from trace-based collection of run-time data about the use of built-in language features which are inherently hard to type, such as dynamic code generation. The end goal of this work is to facilitate static validation tooling for Python, in particular retrofitting of type systems.",Proceedings of the 11th Working Conference on Mining Software Repositories,Tracing Dynamic Features in Python Programs,2014,,,292–295,"Python, dynamic features, Dynamic languages, open source",10.1145/2597073.2597103,,,9781450328630,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/2597073.2597103,4,"Hyderabad, India",MSR 2014
26,10.1145/2816707.2816717,"Beatrice rAkerblom, Tobias Wrigstad","Following the increased popularity of dynamic languages and their increased use in critical software, there have been many proposals to retrofit static type system to these languages to improve possibilities to catch bugs and improve performance. A key question for any type system is whether the types should be structural, for more expressiveness, or nominal, to carry more meaning for the programmer. For retrofitted type systems, it seems the current trend is using structural types. This paper attempts to answer the question to what extent this extra expressiveness is needed, and how the possible polymorphism in dynamic code is used in practise. We study polymorphism in 36 real-world open source Python programs and approximate to what extent nominal and structural types could be used to type these programs. The study is based on collecting traces from multiple runs of the programs and analysing the polymorphic degrees of targets at more than 7 million call-sites. Our results show that while polymorphism is used in all programs, the programs are to a great extent monomorphic. The polymorphism found is evenly distributed across libraries and program-specific code and occur both during program start-up and normal execution. Most programs contain a few ``megamorphic'' call-sites where receiver types vary widely. The non-monomorphic parts of the programs can to some extent be typed with nominal or structural types, but none of the approaches can type entire programs.",Proceedings of the 11th Symposium on Dynamic Languages,Measuring Polymorphism in Python Programs,2015,,,114–128,"trace-based analysis, polymorphism, dynamic languages, Python",10.1145/2816707.2816717,,,9781450336901,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/2816707.2816717,15,"Pittsburgh, PA, USA",DLS 2015
27,10.1145/2936313.2816717,"Beatrice rAkerblom, Tobias Wrigstad","Following the increased popularity of dynamic languages and their increased use in critical software, there have been many proposals to retrofit static type system to these languages to improve possibilities to catch bugs and improve performance. A key question for any type system is whether the types should be structural, for more expressiveness, or nominal, to carry more meaning for the programmer. For retrofitted type systems, it seems the current trend is using structural types. This paper attempts to answer the question to what extent this extra expressiveness is needed, and how the possible polymorphism in dynamic code is used in practise. We study polymorphism in 36 real-world open source Python programs and approximate to what extent nominal and structural types could be used to type these programs. The study is based on collecting traces from multiple runs of the programs and analysing the polymorphic degrees of targets at more than 7 million call-sites. Our results show that while polymorphism is used in all programs, the programs are to a great extent monomorphic. The polymorphism found is evenly distributed across libraries and program-specific code and occur both during program start-up and normal execution. Most programs contain a few ``megamorphic'' call-sites where receiver types vary widely. The non-monomorphic parts of the programs can to some extent be typed with nominal or structural types, but none of the approaches can type entire programs.",,Measuring Polymorphism in Python Programs,2015,51,2,114–128,"polymorphism, dynamic languages, trace-based analysis, Python",10.1145/2936313.2816717,0362-1340,October,,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/2936313.2816717,15,,
28,10.1145/3328778.3366906,"Amal Nanavati, Aileen Owens, Mark Stehlik","As computing technologies continue to have a greater impact on daily life, it becomes increasingly important for the K-12 education system to prepare students for the computerized world. In this paper, we present the curriculum design, implementation, and results from a one-trimester introductory Python course that is mandatory for all 8th graders in our school district. This course is a crucial component of the K-12 computational thinking pathways we are developing at our school district, which take students from block-based programming and computational thinking (elementary school) to text-based programming and applications of computer science (high school). Our mandatory 8th grade course serves as a bridge between these two components. We present qualitative results that highlight the challenges that arose from teaching a course for all students -- not just those with a prior interest in computing -- and how the instructor overcame those challenges. We also present quantitative results that demonstrate the course's positive impact on students' attitudes towards computer science, their intent to re-engage with computer science in the future, and the gender gap with regards to confidence in computer science.",Proceedings of the 51st ACM Technical Symposium on Computer Science Education,"Pythons and Martians and Finches, Oh My! Lessons Learned from a Mandatory 8th Grade Python Class",2020,,,811–817,"k-12 computer science education, computational thinking, robotics",10.1145/3328778.3366906,,,9781450367936,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3328778.3366906,7,"Portland, OR, USA",SIGCSE '20
29,10.1145/3281464.3281465,"Burlen Loring, Andrew Myers, David Camp, E Bethel","This work focuses on enabling the use of Python-based methods for the purpose of performing in situ analysis and visualization. This approach facilitates access to and use of a rapidly growing collection of Python-based, third-party libraries for analysis and visualization, as well as lowering the barrier to entry for user-written Python analysis codes. Beginning with a simulation code that is instrumented to use the SENSEI in situ interface, we present how to couple it with a Python-based data consumer, which may be run in situ, and in parallel at the same concurrency as the simulation. We present two examples that demonstrate the new capability. One is an analysis of the reaction rate in a proxy simulation of a chemical reaction on a 2D substrate, while the other is a coupling of an AMR simulation to Yt, a parallel visualization and analysis library written in Python. In the examples, both the simulation and Python in situ method run in parallel on a large-scale HPC platform.",Proceedings of the Workshop on In Situ Infrastructures for Enabling Extreme-Scale Analysis and Visualization,Python-Based <i>in Situ</i> Analysis and Visualization,2018,,,19–24,"in situ visualization, Python, in situ analysis",10.1145/3281464.3281465,,,9781450365796,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3281464.3281465,6,"Dallas, Texas, USA",ISAV '18
